Date,Portfolio_Value,Benchmark_Value,Portfolio_Drawdown,Benchmark_Drawdown
2019-01-02,10000.0,10000.0,0.0,0.0
2019-01-03,9947.155467614819,9761.372440494079,-0.005284453238518109,-0.023862755950592146
2019-01-04,10071.670403287095,10088.335821240107,0.0,0.0
2019-01-07,10127.589769374645,10167.881514570456,0.0,0.0
2019-01-08,10169.191741347791,10263.412782461743,0.0,0.0
2019-01-09,10241.418736399872,10311.376986525724,0.0,0.0
2019-01-10,10234.556602069333,10347.749999948996,-0.0006700374730455323,0.0
2019-01-11,10238.312152167959,10351.749283736503,-0.0003033353397485553,0.0
2019-01-14,10206.944220604895,10288.591745480982,-0.0033661855532229872,-0.0061011464366458506
2019-01-15,10260.31355351525,10406.508394041726,0.0,0.0
2019-01-16,10294.864888341786,10431.691437268877,0.0,0.0
2019-01-17,10323.856802823762,10510.833190016032,0.0,0.0
2019-01-18,10356.495227217625,10650.730598628385,0.0,0.0
2019-01-22,10300.386659856693,10506.835946332481,-0.005417717686334164,-0.013510308139277703
2019-01-23,10305.504552727147,10528.819426522698,-0.004923545405251684,-0.011446273190065186
2019-01-24,10308.116073896643,10534.415431672736,-0.004671382766038305,-0.010920862740686302
2019-01-25,10414.281350627618,10623.551653698067,0.0,-0.002551838550288555
2019-01-28,10381.384197637928,10542.811139484422,-0.003158850033152533,-0.010132587445020979
2019-01-29,10411.24695507094,10528.819426522698,-0.00029136869405739437,-0.011446273190065186
2019-01-30,10519.002912542217,10695.499999897995,0.0,0.0
2019-01-31,10561.848711992401,10789.431146253488,0.0,0.0
2019-02-01,10560.724860860391,10794.628651097546,-0.00010640666825058124,0.0
2019-02-04,10575.085397795261,10870.572200877068,0.0,0.0
2019-02-05,10605.246059737212,10916.142682966554,0.0,0.0
2019-02-06,10568.15459524216,10901.752469698846,-0.0034974638293277646,-0.0013182507489722431
2019-02-07,10524.79256083936,10797.826854065175,-0.007586198231014517,-0.010838611434238393
2019-02-08,10545.621985280528,10811.016806172376,-0.0056221302288351985,-0.009630313550061555
2019-02-11,10520.674376559771,10817.014031767003,-0.007974514000058601,-0.009080923003528594
2019-02-12,10593.156565053023,10956.113759732742,-0.001139954190227305,0.0
2019-02-13,10597.07505142427,10991.68637237079,-0.0007704685272662492,0.0
2019-02-14,10616.028745003272,10967.307810136772,0.0,-0.002217909191377348
2019-02-15,10712.89251275241,11086.819819990747,0.0,0.0
2019-02-19,10789.581955913447,11106.004277553968,0.0,0.0
2019-02-20,10795.081800255297,11128.386938084817,0.0,0.0
2019-02-21,10731.83067607035,11088.815721693914,-0.005859253811624683,-0.0035558807049993787
2019-02-22,10783.649495108155,11157.56450485691,-0.0010590290429176362,0.0
2019-02-25,10768.198936639881,11172.7585190831,-0.0024902880879309327,0.0
2019-02-26,10778.00268250494,11164.76063154274,-0.0015821202716548364,-0.0007158382172763361
2019-02-27,10745.408777140005,11159.963667108621,-0.004601449440996144,-0.0011451828975471922
2019-02-28,10708.438613266064,11139.178407974956,-0.008026172343333611,-0.003005534492738635
2019-03-01,10653.381213604087,11208.730312061782,-0.013126402307378424,0.0
2019-03-04,10631.473268818836,11167.959514545022,-0.015155839896701077,-0.003637414442283963
2019-03-05,10638.825974716181,11152.770940596049,-0.014474723622327768,-0.0049924808526720325
2019-03-06,10601.07216740867,11085.218338385652,-0.017972039159725305,-0.01101926536168132
2019-03-07,10552.560624243635,10992.484053017406,-0.022465895164029814,-0.019292663220888785
2019-03-08,10584.82069916738,10970.501932896492,-0.0194774903033106,-0.02125382380811954
2019-03-11,10639.977044728714,11129.585839176021,-0.014368094507900352,-0.0070609668251713255
2019-03-12,10692.930391095317,11171.55757788794,-0.009462773052591817,-0.003316409007882061
2019-03-13,10762.267454007075,11245.501145756383,-0.0030397496615028985,0.0
2019-03-14,10703.032802235024,11238.311819417071,-0.008526938445070045,-0.000639306887805987
2019-03-15,10750.33903896708,11293.82848832445,-0.004144735733930097,0.0
2019-03-18,10775.560546897314,11334.778814989297,-0.0018083469601426923,0.0
2019-03-19,10789.816928614362,11337.59551851724,-0.0004877102127017101,0.0
2019-03-20,10817.214913915454,11303.471379687624,0.0,-0.0030098215070279277
2019-03-21,10850.002011456472,11431.136324982575,0.0,0.0
2019-03-22,10754.562151861177,11211.13151441745,-0.008796298792803976,-0.019246101551978576
2019-03-25,10786.980126849992,11202.701124838517,-0.00580846755050694,-0.019983595125605904
2019-03-26,10807.44736804365,11286.207339981216,-0.00392208622338406,-0.012678440784982955
2019-03-27,10755.850430802597,11227.187812582179,-0.00867756342851008,-0.01784149069718208
2019-03-28,10715.146293485903,11269.744381094684,-0.012429096126265771,-0.014118626468933929
2019-03-29,10751.250124079395,11340.80392200465,-0.00910155475296734,-0.00790231175710021
2019-04-01,10801.565733046165,11475.296415204133,-0.004464172297771298,0.0
2019-04-02,10822.938365269956,11480.916221566986,-0.0024943448082258104,0.0
2019-04-03,10825.729774347461,11498.984742266526,-0.0022370721298836907,0.0
2019-04-04,10850.720347281092,11529.496537025541,0.0,0.0
2019-04-05,10878.462321698496,11585.300180556,0.0,0.0
2019-04-08,10901.40139538528,11594.135190752779,0.0,0.0
2019-04-09,10894.34314001492,11534.715122943804,-0.0006474631209659663,-0.005125010777549562
2019-04-10,10937.555451646766,11574.061927899596,0.0,-0.0017313290316980517
2019-04-11,10873.024050131524,11570.84944420428,-0.005899983940700916,-0.0020084073685005532
2019-04-12,10905.543360705671,11649.136393394061,-0.0029268049046804693,0.0
2019-04-15,10890.423533357545,11641.511844877568,-0.004309182110900664,-0.0006545162026617198
2019-04-16,10848.992024993242,11649.136393394061,-0.00809718652810938,0.0
2019-04-17,10827.906517031584,11620.6334209966,-0.010024994625163004,-0.002446788451513338
2019-04-18,10843.512252063963,11643.513866892601,-0.008598191798757272,-0.0004826560795226341
2019-04-22,10849.794352726867,11653.552538423148,-0.008023831221508002,0.0
2019-04-23,10887.63873211644,11758.336357787446,-0.004563791219253639,0.0
2019-04-24,10885.982539699839,11732.24070805752,-0.004715213758222559,-0.002219331794556441
2019-04-25,10882.453799143119,11725.014659847006,-0.005037839830594914,-0.0028338786139904815
2019-04-26,10922.216056845993,11779.616002113005,-0.0014024518429721804,0.0
2019-04-29,10908.511995615401,11798.087103326438,-0.0026553882318367085,0.0
2019-04-30,10929.79134478752,11804.10540999527,-0.0007098575996775119,0.0
2019-05-01,10864.789268271928,11715.378568830352,-0.006652874465096433,-0.0075166086783491305
2019-05-02,10823.946680205583,11690.088080128211,-0.010387035013758709,-0.009659125016836445
2019-05-03,10901.821906112687,11804.506630439862,-0.0032670504567543024,0.0
2019-05-06,10883.785256864017,11755.924954912003,-0.00491610717042376,-0.004115519356190916
2019-05-07,10792.390550628581,11559.607111339965,-0.013272152233644531,-0.020746273162182305
2019-05-08,10779.494318331179,11543.548773071281,-0.014451230351640306,-0.022106629742208665
2019-05-09,10765.587868358998,11508.618113144574,-0.015722670760208658,-0.025065725028464252
2019-05-10,10804.152815835549,11566.433299175193,-0.012196750581148524,-0.020168003519160944
2019-05-13,10712.192527109168,11275.766087936776,-0.020604505781377958,-0.04479141391133129
2019-05-14,10767.466285231829,11377.735243877087,-0.01555093065967752,-0.03615325908346524
2019-05-15,10804.21054839404,11444.39020034705,-0.01219147220256145,-0.03050669048414041
2019-05-16,10826.969110870423,11550.376320975813,-0.010110699896812202,-0.021528244883079906
2019-05-17,10752.968169501923,11475.698995718027,-0.01687646594898418,-0.027854415691880855
2019-05-20,10720.281479061958,11399.82412943834,-0.01986494820943695,-0.03428203428324411
2019-05-21,10757.263867184221,11502.598446406435,-0.01648371843777937,-0.025575671519799694
2019-05-22,10725.626723197205,11467.267926104443,-0.019376242651885457,-0.028568640341629675
2019-05-23,10675.269533233957,11327.156986611411,-0.023980305249407297,-0.04043791568531347
2019-05-24,10705.957988771406,11352.84801572349,-0.021174517825232126,-0.038261541024653796
2019-05-28,10654.813528086323,11247.261075435359,-0.025850559095256805,-0.04720617069819369
2019-05-29,10621.3849613171,11171.782669357699,-0.02890686970478967,-0.05360020379425097
2019-05-30,10654.039060429586,11202.299224359276,-0.02592136720774228,-0.05101504238454959
2019-05-31,10622.40026097965,11051.343092238609,-0.02881404277769085,-0.06380305096861037
2019-06-03,10670.893851071069,11023.240660251084,-0.024380365590333818,-0.06618370378768358
2019-06-04,10775.042086214235,11262.516292780216,-0.014858289510026008,-0.045913849229584525
2019-06-05,10804.034934504303,11360.07678407261,-0.012207528248221071,-0.03764916741384325
2019-06-06,10865.087579372044,11433.946228164003,-0.006625600445647151,-0.03139143497283561
2019-06-07,10946.032389463493,11548.368858683561,0.0,-0.021698303857596857
2019-06-10,10922.451455680395,11601.3639591019,-0.0021542905177036166,-0.017208908232905353
2019-06-11,10927.277569439699,11598.551335781865,-0.0017133897796472312,-0.017447175143000673
2019-06-12,10923.257477295594,11578.076852484097,-0.002080654556606445,-0.01918163842374226
2019-06-13,10983.076266006668,11625.849286776258,0.0,-0.015134672651452212
